conversacion_id,interaccion_nu,actor_tx,mensaje_tx
0010765e-ec36-412e-8cf3-c23c9ad32a56,1,USUARIO,Necesito ayuda
0010765e-ec36-412e-8cf3-c23c9ad32a56,2,BOT, Hola CLARISA ADRIANA ¿cómo estás? Acá Bot. | Podemos hablar de muchas cosas sobre tarjetas. Contame *qué necesitás saber o elegí una opción* y avanzamos. ¿Un tip?: cuando quieras podés escribir *Salir* o hacer cualquier otra pregunta y yo te sigo.  | Consultas de mi tarjeta | Entrega de tarjetas | Info sobre pagos | Pedir una tarjeta | Necesito ayuda
0010765e-ec36-412e-8cf3-c23c9ad32a56,3,USUARIO,Saldo de la deuda de visa y Master q di de baja
0010765e-ec36-412e-8cf3-c23c9ad32a56,4,BOT,Podemos hablar de muchas cosas sobre tarjetas.  Contame *qué necesitás saber o elegí una opción* y avanzamos. 1- Últimos movimientos 2- Descargar mi resumen 3- Cierre y vencimiento 4- Consultar límites 5- Débitos automáticos
0010765e-ec36-412e-8cf3-c23c9ad32a56,5,USUARIO,Resumen de otras tarjetas
0010765e-ec36-412e-8cf3-c23c9ad32a56,6,BOT,Uy perdón no pude entenderte. Escribime tu consulta en una *frase corta* y te ayudo. Algo así: Clave Bancaria o Dónde está mi tarjeta.
0010765e-ec36-412e-8cf3-c23c9ad32a56,7,USUARIO,Deuda baja tarjeta
0010765e-ec36-412e-8cf3-c23c9ad32a56,8,BOT,Bien ¿de qué tarjeta querés el resumen? | MASTER XXXX6212
0010765e-ec36-412e-8cf3-c23c9ad32a56,9,USUARIO,Master 5677
0010765e-ec36-412e-8cf3-c23c9ad32a56,10,BOT,Creo que esa no es una de las opciones. ¿Vamos de nuevo? | Bien ¿de qué tarjeta querés el resumen? | MASTER XXXX6212
0010765e-ec36-412e-8cf3-c23c9ad32a56,11,USUARIO,Master xxxx5677
0010765e-ec36-412e-8cf3-c23c9ad32a56,12,BOT,Bueno si querés podemos seguir más tarde con esto. ¿Te parece que veamos otra cosa? | Volver a tarjetas | Hablar de otro tema | Eso es todo
0010765e-ec36-412e-8cf3-c23c9ad32a56,13,USUARIO,Hablar de otro tema
0010765e-ec36-412e-8cf3-c23c9ad32a56,14,BOT,Dale *escribí el tema* sobre el que querés hablar o *Menú* para ver opciones.
0010765e-ec36-412e-8cf3-c23c9ad32a56,15,USUARIO,Resumen baja tarjeta Master 5667
0010765e-ec36-412e-8cf3-c23c9ad32a56,16,BOT,Uy perdón no pude entenderte.  Escribime tu consulta en *una frase corta* y te ayudo. Algo así: Clave Bancaria o Dónde está mi tarjeta.
0010765e-ec36-412e-8cf3-c23c9ad32a56,17,USUARIO,Representante hablar
0010765e-ec36-412e-8cf3-c23c9ad32a56,18,BOT,¿Querés consultar por alguna demora en un pago? Puedo ayudarte con eso  | Consultar deudas | Es por otro tema
0010765e-ec36-412e-8cf3-c23c9ad32a56,19,USUARIO,Es por otro tema
0010765e-ec36-412e-8cf3-c23c9ad32a56,20,BOT,Enseguida te paso con alguien. Antes por favor escribí en una frase el *tema que querés hablar*:
0010765e-ec36-412e-8cf3-c23c9ad32a56,21,USUARIO,Consultar deudas
0010765e-ec36-412e-8cf3-c23c9ad32a56,22,BOT,Muchas gracias te va a *responder por acá*. 
0012549a-b204-462c-98f6-c35233c49509,1,USUARIO,Hablar con un operador
